time,open,high,low,close,"UL, NYSE: Open","UL, NYSE: High","UL, NYSE: Low","UL, NYSE: Close","XOM, NYSE: Open","XOM, NYSE: High","XOM, NYSE: Low","XOM, NYSE: Close","HD, NYSE: Open","HD, NYSE: High","HD, NYSE: Low","HD, NYSE: Close","PG, NYSE: Open","PG, NYSE: High","PG, NYSE: Low","PG, NYSE: Close","UNH, NYSE: Open","UNH, NYSE: High","UNH, NYSE: Low","UNH, NYSE: Close","WMT, NYSE: Open","WMT, NYSE: High","WMT, NYSE: Low","WMT, NYSE: Close"
1968-01-01T14:30:00Z,0.624993,0.624993,0.57291,0.589403,0.579866,0.680561,0.579866,0.680561,2.15625,2.230469,2.125,2.164063,NaN,NaN,NaN,NaN,1.442318,1.442318,1.28723,1.28723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-02-01T14:30:00Z,0.586799,0.587667,0.53298,0.557286,0.666672,0.743062,0.645839,0.736117,2.179688,2.179688,2.105469,2.117188,NaN,NaN,NaN,NaN,1.267844,1.331818,1.267844,1.318248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-03-01T14:30:00Z,0.552077,0.56423,0.519092,0.56423,0.729173,0.840285,0.715284,0.83334,2.117188,2.183594,2.09375,2.183594,NaN,NaN,NaN,NaN,1.327941,1.353143,1.306616,1.353143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-04-01T14:30:00Z,0.590271,0.621521,0.581591,0.611104,0.822923,0.986119,0.815979,0.958341,2.214844,2.257813,2.160156,2.238281,NaN,NaN,NaN,NaN,1.388037,1.457827,1.382222,1.457827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-05-01T13:30:00Z,0.605896,0.626729,0.59548,0.626729,0.965286,1.065981,0.965286,0.982647,2.226563,2.246094,2.089844,2.105469,NaN,NaN,NaN,NaN,1.461704,1.558634,1.44038,1.44038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-06-03T13:30:00Z,0.645826,0.652771,0.619785,0.642354,0.975702,1.04862,0.975702,1.038203,2.121094,2.136719,2.085938,2.125,NaN,NaN,NaN,NaN,1.426809,1.49466,1.426809,1.44038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-07-01T13:30:00Z,0.645826,0.670132,0.616313,0.625861,1.034731,1.086814,1.000008,1.000008,2.125,2.488281,2.125,2.445313,NaN,NaN,NaN,NaN,1.442318,1.486906,1.419055,1.419055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-08-01T13:30:00Z,0.637146,0.644958,0.615445,0.631937,1.017369,1.107648,1.017369,1.041675,2.425781,2.46875,2.359375,2.464844,NaN,NaN,NaN,NaN,1.407423,1.461704,1.389976,1.436502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-09-02T13:30:00Z,0.629333,0.642354,0.59548,0.60416,1.041675,1.041675,1.006953,1.010425,2.445313,2.46875,2.375,2.429688,NaN,NaN,NaN,NaN,1.428748,1.479152,1.355081,1.355081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-10-01T13:30:00Z,0.61284,0.619785,0.596348,0.596348,1.00348,1.00348,0.965286,0.968758,2.414063,2.53125,2.414063,2.53125,NaN,NaN,NaN,NaN,1.374467,1.395792,1.353143,1.368651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-11-01T14:30:00Z,0.593743,0.706589,0.593743,0.672736,0.965286,0.965286,0.871535,0.875007,2.488281,2.660156,2.484375,2.648438,NaN,NaN,NaN,NaN,1.378344,1.523739,1.368651,1.523739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-12-02T14:30:00Z,0.677076,0.739575,0.677076,0.739575,0.861118,0.927091,0.857646,0.906257,2.617188,2.617188,2.457031,2.457031,NaN,NaN,NaN,NaN,1.50823,1.50823,1.341511,1.341511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-01-01T14:30:00Z,0.734367,0.770825,0.703117,0.758672,0.913202,0.916674,0.875007,0.916674,2.460938,2.503906,2.382813,2.496094,NaN,NaN,NaN,NaN,1.333757,1.380283,1.3008,1.326002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-02-03T14:30:00Z,0.756068,0.769089,0.71527,0.749992,0.902785,0.902785,0.847229,0.850701,2.507813,2.601563,2.367188,2.433594,NaN,NaN,NaN,NaN,1.302739,1.306616,1.279476,1.28723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-03-03T14:30:00Z,0.736103,0.819435,0.736103,0.819435,0.847229,0.847229,0.83334,0.83334,2.460938,2.566406,2.417969,2.566406,NaN,NaN,NaN,NaN,1.302739,1.339572,1.294985,1.339572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-04-01T14:30:00Z,0.812491,0.887143,0.784714,0.855893,0.83334,0.840285,0.805562,0.805562,2.542969,2.589844,2.5,2.53125,NaN,NaN,NaN,NaN,1.345388,1.362836,1.318248,1.362836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-05-01T13:30:00Z,0.850685,0.868046,0.833324,0.843741,0.805562,0.805562,0.756951,0.756951,2.507813,2.660156,2.507813,2.617188,NaN,NaN,NaN,NaN,1.391915,1.465581,1.382222,1.461704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-06-02T13:30:00Z,0.833324,0.838532,0.782977,0.78645,0.743062,0.743062,0.69445,0.69445,2.632813,2.652344,2.417969,2.425781,NaN,NaN,NaN,NaN,1.450073,1.450073,1.351204,1.380283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-07-01T13:30:00Z,0.788186,0.822908,0.765617,0.815963,0.708339,0.718756,0.680561,0.680561,2.441406,2.449219,2.125,2.179688,NaN,NaN,NaN,NaN,1.395792,1.465581,1.353143,1.391915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-08-01T13:30:00Z,0.812491,0.965267,0.812491,0.927073,0.652783,0.687506,0.63195,0.687506,2.21875,2.28125,2.171875,2.277344,NaN,NaN,NaN,NaN,1.403546,1.473336,1.399669,1.473336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-09-01T13:30:00Z,0.930545,1.055544,0.916657,0.965267,0.69445,0.736117,0.69445,0.732645,2.261719,2.261719,2.132813,2.152344,NaN,NaN,NaN,NaN,1.512108,1.543125,1.463643,1.512108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-10-01T13:30:00Z,0.982628,1.076377,0.967003,1.06596,0.7257,0.7257,0.69445,0.697922,2.144531,2.195313,2.042969,2.085938,NaN,NaN,NaN,NaN,1.490783,1.733108,1.490783,1.707906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-11-03T14:30:00Z,1.069433,1.093738,0.993045,1.046863,0.736117,0.791673,0.736117,0.763895,2.09375,2.109375,1.90625,1.941406,NaN,NaN,NaN,NaN,1.707906,1.733108,1.641994,1.641994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-12-01T14:30:00Z,1.041655,1.249986,1.041655,1.249986,0.756951,0.826396,0.756951,0.826396,1.90625,1.949219,1.898438,1.929688,NaN,NaN,NaN,NaN,1.632301,1.723415,1.610976,1.698213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-01-01T14:30:00Z,1.218737,1.230889,1.09721,1.09721,0.83334,0.847229,0.809034,0.809034,1.9375,1.96875,1.761719,1.761719,NaN,NaN,NaN,NaN,1.705968,1.79902,1.705968,1.721476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-02-02T14:30:00Z,1.152765,1.204848,1.05728,1.106759,0.791673,0.791673,0.777784,0.777784,1.75,1.785156,1.566406,1.6875,NaN,NaN,NaN,NaN,1.705968,1.79902,1.638117,1.694336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-03-02T14:30:00Z,1.09721,1.109363,1.05294,1.072905,0.763895,0.774312,0.680561,0.680561,1.671875,1.804688,1.652344,1.789063,NaN,NaN,NaN,NaN,1.70209,1.713722,1.643932,1.690459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-04-01T14:30:00Z,1.065092,1.065092,0.951378,0.993045,0.684033,0.697922,0.638894,0.638894,1.796875,1.804688,1.675781,1.675781,NaN,NaN,NaN,NaN,1.713722,1.713722,1.543125,1.545064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-05-01T13:30:00Z,0.987836,0.987836,0.778638,0.906241,0.583338,0.583338,0.500004,0.538199,1.6875,1.773438,1.601563,1.773438,NaN,NaN,NaN,NaN,1.527616,1.527616,1.248458,1.519862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-06-01T13:30:00Z,0.937491,1.041656,0.927074,0.971344,0.534727,0.569449,0.527782,0.569449,1.777344,1.792969,1.691406,1.710938,NaN,NaN,NaN,NaN,1.512108,1.574143,1.411301,1.457827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-07-01T13:30:00Z,0.973949,1.039052,0.937491,1.028636,0.541671,0.583338,0.541671,0.583338,1.707031,1.9375,1.667969,1.9375,NaN,NaN,NaN,NaN,1.492722,1.705968,1.492722,1.612915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-08-03T13:30:00Z,1.010407,1.03124,0.906241,1.013011,0.565977,0.638894,0.559032,0.638894,1.898438,2.09375,1.894531,2.058594,NaN,NaN,NaN,NaN,1.581897,1.636178,1.562511,1.616792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-09-01T13:30:00Z,1.026031,1.114572,1.005198,1.098947,0.63195,0.701395,0.618061,0.701395,2.039063,2.09375,1.976563,2.09375,NaN,NaN,NaN,NaN,1.643932,1.67495,1.624546,1.640055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-10-01T13:30:00Z,1.104156,1.18228,1.085927,1.18228,0.708339,0.715284,0.680561,0.680561,2.082031,2.195313,2.082031,2.171875,NaN,NaN,NaN,NaN,1.640055,1.70209,1.640055,1.694336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-11-02T14:30:00Z,1.18228,1.234363,1.166655,1.223946,0.673617,0.673617,0.625005,0.625005,2.171875,2.261719,2.085938,2.261719,NaN,NaN,NaN,NaN,1.717599,1.84167,1.717599,1.84167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-12-01T14:30:00Z,1.208321,1.221342,1.138009,1.187488,0.621533,0.628477,0.593755,0.597227,2.242188,2.292969,2.1875,2.292969,NaN,NaN,NaN,NaN,1.822284,1.876564,1.779634,1.79902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-01-01T14:30:00Z,1.192696,1.374986,1.192696,1.343737,0.611116,0.656255,0.607644,0.656255,2.269531,2.269531,2.109375,2.207031,NaN,NaN,NaN,NaN,1.783512,1.830038,1.748617,1.814529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-02-01T14:30:00Z,1.348945,1.48436,1.348945,1.468735,0.649311,0.649311,0.604172,0.604172,2.25,2.371094,2.195313,2.347656,NaN,NaN,NaN,NaN,1.814529,1.837792,1.775757,1.814529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-03-01T14:30:00Z,1.476548,1.66665,1.473944,1.609359,0.597227,0.628477,0.590283,0.628477,2.332031,2.492188,2.332031,2.492188,NaN,NaN,NaN,NaN,1.818406,1.946354,1.818406,1.934722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-04-01T14:30:00Z,1.601546,1.760399,1.583318,1.760399,0.625005,0.795145,0.621533,0.795145,2.484375,2.558594,2.480469,2.488281,NaN,NaN,NaN,NaN,1.919214,1.9386,1.814529,1.876564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-05-03T13:30:00Z,1.731754,1.885398,1.731754,1.802065,0.80209,0.843757,0.788201,0.843757,2.449219,2.464844,2.335938,2.371094,NaN,NaN,NaN,NaN,1.864933,1.892073,1.830038,1.845547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-06-01T13:30:00Z,1.812482,2.005188,1.812482,2.005188,0.83334,0.850701,0.819451,0.850701,2.375,2.449219,2.324219,2.355469,NaN,NaN,NaN,NaN,1.872687,2.012266,1.872687,2.008389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-07-01T13:30:00Z,2.013001,2.046855,1.947897,1.958314,0.843757,0.861118,0.843757,0.854174,2.367188,2.480469,2.367188,2.390625,NaN,NaN,NaN,NaN,2.012266,2.194495,2.012266,2.066547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
